id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
840,The Rainbow,R,Action,35,medium,low,6.2,False,False,low,False,False,62.0,1,False,False,0.475726,25.0,0,False,False,0.0
841,Gleaming the Cube,PG-13,Action,35,medium,low,6.3,False,False,low,False,False,47.0,0,False,False,0.0,20.0,0,False,False,0.0
842,Fletch Lives,PG,Comedy,35,medium,mid,6.1,False,False,high,False,True,51.0,5,False,True,2.620924589141946,46.0,10,True,True,3.144872471284595
843,Communion,R,Biography,35,medium,low,5.6,False,False,low,False,True,40.0,0,False,False,0.0,46.0,2,False,False,1.3789794666666666
844,Crimes and Misdemeanors,PG-13,Comedy,35,medium,high,7.9,True,False,low,False,False,54.0,7,True,False,1.495045193154762,61.0,0,False,False,0.0
845,Let It Ride,PG-13,Comedy,35,medium,low,6.8,False,False,low,False,False,51.0,0,False,False,0.0,42.0,3,False,False,1.1711927076923077
846,Kill Me Again,R,Action,35,medium,low,6.3,False,False,low,False,True,33.0,0,False,False,0.0,30.0,3,False,False,1.8428110212962963
847,Chances Are,PG,Comedy,35,medium,mid,6.5,False,False,mid,False,False,46.0,1,False,False,35.762873666666664,39.0,0,False,False,0.0
848,The Dream Team,PG-13,Comedy,35,medium,mid,6.5,False,False,mid,False,False,62.0,2,False,False,4.3227090666666665,38.0,2,False,True,1.0756457719298245
849,Little Nemo: Adventures in Slumberland,G,Animation,35,short,low,7.1,False,False,low,False,False,47.0,0,False,False,0.0,13.0,0,False,False,0.0
850,Kinjite: Forbidden Subjects,R,Action,35,medium,low,5.5,False,False,low,False,True,75.0,6,False,True,1.6946783097216878,68.0,7,False,True,2.6465299972217644
851,New York Stories,PG,Comedy,35,long,mid,6.4,False,False,low,False,False,54.0,7,True,False,1.495045193154762,54.0,2,True,False,1.1819812125000002
852,Cousins,PG-13,Comedy,35,medium,low,6.3,False,False,mid,False,False,50.0,2,False,False,2.8986077874999996,42.0,0,False,False,0.0
853,Blind Fury,R,Action,35,short,mid,6.4,False,False,low,False,False,39.0,0,False,False,0.0,45.0,2,False,False,0.986056717948718
