id,title,runtime,rating_cat,genre_cat,popularity_cat,budget_cat,budget_efficiency,budget_efficiency_cat,age,score,is_acclaimed,is_panned,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
2689,Murder by Numbers,115.0,R,Crime,high,high,1.13428294,mid,22,6.2,False,False,61.0,5,False,False,0.9951987487142856,38.0,8,False,True,3.352708829478286
2690,Hart's War,125.0,R,Drama,high,very-high,0.4612434857142857,low,22,6.3,False,False,58.0,2,True,False,2.808757539247312,47.0,21,True,True,2.52334259464794
2691,Swept Away,89.0,R,Comedy,mid,mid,0.103652,low,22,3.6,False,True,34.0,0,False,False,0.0,44.0,4,False,True,1.102794096693405
2692,May,93.0,R,Comedy,mid,low,0.528698,low,22,6.6,False,False,27.0,0,False,False,0.0,29.0,0,False,False,0.0
2693,Dragonfly,104.0,PG-13,Drama,mid,very-high,0.8720566666666667,low,22,6.1,False,False,44.0,4,False,False,5.298945017592592,47.0,17,True,False,3.376836087898311
2694,Juwanna Mann,91.0,PG-13,Comedy,low,mid,0.8847819871794872,low,22,4.6,False,True,5.0,0,False,False,0.0,43.0,0,False,False,0.0
2695,Divine Secrets of the Ya-Ya Sisterhood,116.0,PG-13,Drama,mid,mid,2.7347866666666665,mid,22,6.1,False,False,45.0,0,False,False,0.0,38.0,8,False,True,3.352708829478286
2696,Dirty Pretty Things,97.0,R,Crime,mid,mid,1.3904766,mid,22,7.3,False,False,61.0,4,True,False,1.193802156788247,25.0,0,False,False,0.0
2697,The Tuxedo,98.0,PG-13,Action,high,very-high,1.7398603833333333,mid,22,5.4,False,True,32.0,0,False,False,0.0,48.0,8,True,False,3.698346675631313
2698,Swimfan,85.0,PG-13,Drama,mid,mid,3.441124,high,22,5.1,False,True,37.0,0,False,False,0.0,23.0,1,True,False,0.151778875
2699,Serving Sara,99.0,PG-13,Comedy,mid,mid,0.6946948275862069,low,22,5.3,False,True,41.0,3,False,True,4.56431003968254,33.0,1,False,False,1.4740714
2700,K-19: The Widowmaker,138.0,PG-13,Drama,high,very-high,0.65716126,low,22,6.7,False,False,51.0,4,False,False,1.0909866290178571,60.0,18,True,True,4.373412968725327
2701,Stuart Little 2,77.0,PG,Animation,high,very-high,1.4163067166666667,mid,22,5.5,False,False,40.0,1,False,False,2.256656894736842,41.0,12,True,False,3.8163092134039953
2702,Igby Goes Down,98.0,R,Comedy,mid,low,0.7687997777777777,low,22,6.9,False,False,37.0,0,False,False,0.0,20.0,0,False,False,0.0
2703,Rollerball,98.0,PG-13,Action,mid,very-high,0.3693252,low,22,3.1,False,True,51.0,8,True,False,3.511018035045372,23.0,2,False,True,0.6088461266666667
