id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
4591,The Giver,10,PG-13,Drama,97.0,114000.0,6.5,25000000.0,2.67921824,64.0,10,True,True,2.1472935845677674,11.0,0,False,False,0.0
4592,300: Rise of an Empire,10,R,Action,102.0,286000.0,6.2,110000000.0,3.0689095545454546,53.0,0,False,False,0.0,24.0,0,False,False,0.0
4593,American Sniper,10,R,Action,133.0,451000.0,7.3,58800000.0,9.30997231292517,84.0,26,True,False,3.246538860649232,25.0,5,True,False,5.900380508850234
4594,Big Hero 6,10,PG,Animation,102.0,423000.0,7.8,165000000.0,3.987089006060606,45.0,0,False,False,0.0,37.0,0,False,False,0.0
4595,The Amazing Spider-Man 2,10,PG-13,Action,142.0,427000.0,6.6,175000000.0,4.05132756,40.0,2,True,False,6.218879113333333,39.0,1,False,False,4.33103236
4596,Maleficent,10,PG,Action,97.0,353000.0,7.0,175000000.0,4.333781594285714,49.0,0,False,False,0.0,19.0,7,True,False,2.1781242418878057
4597,Into the Woods,10,PG,Adventure,125.0,135000.0,5.9,50000000.0,4.25804744,54.0,4,False,False,3.8441426888807193,31.0,1,False,False,6.785319176470588
4598,Unbroken,10,PG-13,Action,137.0,155000.0,7.2,65000000.0,2.4839891846153845,39.0,0,False,False,0.0,39.0,0,False,False,0.0
4599,The Lego Movie,10,PG,Animation,100.0,331000.0,7.7,60000000.0,7.801011533333333,39.0,0,False,False,0.0,29.0,0,False,False,0.0
4600,The Hunger Games: Mockingjay - Part 1,10,PG-13,Action,123.0,424000.0,6.6,125000000.0,6.042853688,43.0,4,True,False,3.986740564291498,24.0,4,True,False,6.720890767307693
