id,title,rating,genre,runtime,age,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
4365,The Cold Light of Day,PG-13,Action,medium,12,mid,4.9,False,True,low,False,False,36.0,0,False,False,0.0,9.0,1,False,False,3.025386893333333
4366,The Apparition,PG-13,Horror,short,12,mid,4.1,False,True,low,False,False,36.0,0,False,False,0.0,44.0,0,False,False,0.0
4367,Lockout,PG-13,Action,medium,12,high,6.1,False,False,mid,False,False,43.0,0,False,False,0.0,29.0,3,True,False,2.0560523722222226
4368,Chasing Mavericks,PG,Biography,medium,12,mid,7.1,False,False,low,False,False,71.0,11,False,True,1.875408220885663,25.0,0,False,False,0.0
4369,One for the Money,PG-13,Action,medium,12,mid,5.3,False,True,low,False,False,39.0,1,False,False,4.45685235,45.0,4,False,False,4.494615187631579
4370,Bachelorette,R,Comedy,short,12,mid,5.3,False,True,high,False,True,32.0,0,False,False,0.0,24.0,10,False,False,1.9541425486639175
4371,Lay the Favorite,R,Comedy,medium,12,mid,4.8,False,True,low,False,False,71.0,6,True,False,1.0955000161197008,34.0,1,False,False,6.219954838709677
4372,Parental Guidance,PG,Comedy,medium,12,mid,6.0,False,False,high,False,False,49.0,4,False,False,3.2052549774475523,30.0,6,True,False,3.205055966623444
4373,The Raven,R,Crime,medium,12,high,6.4,False,False,mid,False,False,45.0,2,True,False,1.9969700277777778,30.0,18,True,False,1.7614755694221824
4374,Liberal Arts,PG-13,Comedy,medium,12,mid,6.7,False,False,low,False,True,38.0,0,False,False,0.0,64.0,0,False,False,0.0
4375,Stolen,R,Action,medium,12,mid,5.5,False,False,low,False,False,51.0,5,False,True,2.66509321620061,46.0,35,True,True,2.1926620648274753
4376,Kon-Tiki,PG-13,Adventure,medium,12,mid,7.2,False,False,mid,False,False,40.0,0,False,False,0.0,38.0,0,False,False,0.0
4377,Paranormal Activity 4,R,Horror,short,12,high,4.6,False,True,high,False,True,30.0,0,False,False,0.0,48.0,0,False,False,0.0
4378,Quartet,PG-13,Comedy,medium,12,mid,6.8,False,False,high,False,False,75.0,0,False,False,0.0,32.0,3,False,False,4.2153234469696965
4379,Playing for Keeps,PG-13,Comedy,medium,12,mid,5.7,False,False,low,False,False,45.0,2,True,False,4.3352414,48.0,7,True,True,2.144837537881272
4380,Upside Down,PG-13,Drama,medium,12,high,6.4,False,False,low,False,False,46.0,0,False,False,0.0,78.0,3,False,False,2.3742036123015873
4381,The Odd Life of Timothy Green,PG,Comedy,medium,12,mid,6.6,False,False,mid,False,False,50.0,2,False,False,6.3694861,43.0,3,False,True,1.5262980230882042
4382,Premium Rush,PG-13,Action,medium,12,very-high,6.5,False,False,low,False,False,49.0,3,False,False,1.8130822416666668,34.0,5,True,False,2.9267751895300753
4383,Not Fade Away,R,Drama,medium,12,low,6.0,False,False,low,False,False,67.0,0,False,False,0.0,40.0,0,False,False,0.0
4384,Disconnect,R,Drama,medium,12,high,7.5,True,False,low,False,False,36.0,0,False,False,0.0,31.0,4,False,True,2.8580057209935896
4385,The Pirates! Band of Misfits,PG,Animation,short,12,mid,6.7,False,False,mid,False,False,59.0,1,False,False,4.996323644444445,29.0,11,True,True,3.286173089841208
4386,Chernobyl Diaries,R,Horror,short,12,high,5.0,False,True,high,False,True,32.0,0,False,False,0.0,43.0,0,False,False,0.0
4387,Talaash,Unrated,Crime,long,12,mid,7.2,False,False,low,False,True,40.0,0,False,False,0.0,52.0,0,False,False,0.0
4388,Hope Springs,PG-13,Comedy,medium,12,mid,6.3,False,False,high,False,False,53.0,3,False,False,4.598781087708091,25.0,18,True,False,2.94464820711693
4389,People Like Us,PG-13,Comedy,medium,12,mid,7.1,False,False,low,False,False,39.0,0,False,False,0.0,47.0,2,True,False,1.7485784866666667
4390,Vamps,PG-13,Comedy,medium,12,low,5.2,False,True,low,False,False,58.0,5,False,True,4.9127948403921575,63.0,2,False,True,2.7225360833333334
4391,A Thousand Words,PG-13,Comedy,medium,12,mid,5.9,False,False,low,False,False,49.0,7,False,True,1.6738433348214286,32.0,25,True,True,3.065452943496932
4392,Escape from Planet Earth,PG,Animation,short,12,mid,5.9,False,False,mid,False,False,34.0,0,False,False,0.0,36.0,14,False,True,1.9480304491524651
4393,"For a Good Time, Call...",R,Comedy,short,12,mid,6.0,False,False,mid,False,True,33.0,0,False,False,0.0,51.0,0,False,False,0.0
4394,Big Miracle,PG,Biography,medium,12,mid,6.5,False,False,low,False,False,55.0,5,False,True,1.7959951901904763,44.0,12,False,True,2.0486131523103634
4395,What Maisie Knew,R,Drama,medium,12,mid,7.4,True,False,low,False,True,50.0,1,False,False,3.343843,29.0,7,True,False,1.210285915172472
4396,The Devil Inside,R,Horror,short,12,mid,4.2,False,True,high,False,True,42.0,1,False,True,3.8998135714285715,37.0,0,False,False,0.0
4397,Cocktail,Unrated,Comedy,long,12,mid,6.3,False,False,low,False,True,40.0,0,False,False,0.0,52.0,0,False,False,0.0
4398,Fun Size,PG-13,Adventure,short,12,mid,5.4,False,True,low,False,False,36.0,0,False,False,0.0,28.0,0,False,False,0.0
4399,Robot & Frank,PG-13,Comedy,short,12,high,7.1,False,False,mid,False,True,31.0,0,False,False,0.0,42.0,0,False,False,0.0
4400,The Wolf of Wall Street,R,Biography,long,11,very-high,8.2,True,False,high,False,False,71.0,16,True,False,1.9787577351087489,19.0,16,True,False,3.7580343051230107
4401,Iron Man 3,PG-13,Action,long,11,very-high,7.1,False,False,high,True,False,52.0,1,True,False,1.0523432,41.0,13,True,False,2.52599351601715
4402,The Conjuring,R,Horror,medium,11,very-high,7.5,True,False,high,False,False,36.0,4,True,False,5.491956325,39.0,2,False,False,8.69589947368421
4403,Prisoners,R,Crime,long,11,very-high,8.1,True,False,mid,False,False,46.0,1,True,False,1.0440585294117648,48.0,8,True,False,2.3539177997576193
4404,Thor: The Dark World,PG-13,Action,medium,11,very-high,6.8,False,False,high,True,False,54.0,0,False,False,0.0,40.0,2,False,True,1.8896807471794872
4405,The Purge,R,Horror,short,11,very-high,5.7,False,False,high,False,True,44.0,0,False,False,0.0,45.0,14,True,False,2.578438699879535
4406,Grown Ups 2,PG-13,Comedy,medium,11,very-high,5.4,False,True,high,False,False,67.0,11,False,True,3.170545783874475,30.0,23,True,True,2.8039854108479894
4407,Fast & Furious 6,PG-13,Action,long,11,very-high,7.0,False,False,high,True,False,42.0,4,False,False,5.279720879411764,43.0,9,False,False,2.8648321605845934
4408,Gravity,PG-13,Drama,medium,11,very-high,7.7,True,False,high,False,False,52.0,5,True,False,3.9742690581452726,47.0,15,False,True,3.4056177248699004
