id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency_cat,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1519,Heat,29,R,Crime,170.0,596000.0,8.2,60000000.0,high,52.0,4,True,False,1.2338903469696971,55.0,9,True,True,2.324110216029549
1520,Clueless,29,PG-13,Comedy,97.0,193000.0,6.8,12000000.0,high,41.0,3,False,False,6.3081470784313725,19.0,0,False,False,0.0
1521,Se7en,29,R,Crime,127.0,1500000.0,8.6,33000000.0,high,33.0,1,False,False,3.19628996,58.0,2,True,False,6.5953227000000005
1522,Braveheart,29,R,Biography,178.0,978000.0,8.3,72000000.0,mid,39.0,0,False,False,0.0,39.0,12,True,False,4.229701745850719
1523,Apollo 13,29,PG,Adventure,140.0,277000.0,7.6,52000000.0,high,41.0,8,False,False,4.720523687351191,39.0,13,True,False,5.558564329992132
1524,The Usual Suspects,29,R,Crime,106.0,1000000.0,8.5,6000000.0,high,30.0,0,False,False,0.0,36.0,1,False,False,0.54704
1525,Jumanji,29,PG,Adventure,104.0,318000.0,7.0,65000000.0,high,45.0,2,False,False,5.6672008,44.0,10,True,True,3.775114559651689
1526,Casino,29,R,Crime,178.0,480000.0,8.2,52000000.0,mid,53.0,8,True,False,2.1095105160082004,52.0,15,True,False,1.3813380676357414
1527,Congo,29,PG-13,Action,109.0,43000.0,5.2,50000000.0,high,49.0,2,False,False,1.783244146306818,31.0,0,False,False,0.0
1528,Batman Forever,29,PG-13,Action,121.0,239000.0,5.4,100000000.0,high,56.0,7,True,False,2.668085454352869,36.0,6,False,False,1.3359635790692008
1529,Kids,29,Other,Drama,91.0,75000.0,7.1,1500000.0,high,52.0,0,False,False,0.0,17.0,0,False,False,0.0
1530,Toy Story,29,G,Animation,81.0,913000.0,8.3,30000000.0,high,38.0,0,False,False,0.0,39.0,13,True,False,5.558564329992132
1531,Desperado,29,R,Action,104.0,175000.0,7.2,7000000.0,high,27.0,1,False,False,10.0,35.0,0,False,False,0.0
1532,Die Hard with a Vengeance,29,R,Action,128.0,370000.0,7.6,90000000.0,high,44.0,5,True,False,4.209007720378152,40.0,7,True,True,1.6741457978612198
1533,Mortal Kombat,29,PG-13,Action,101.0,112000.0,5.8,18000000.0,high,30.0,0,False,False,0.0,38.0,7,False,True,0.6335588966117216
1534,Mallrats,29,R,Comedy,94.0,118000.0,7.1,8000000.0,low,25.0,1,True,False,10.0,24.0,0,False,False,0.0
1535,12 Monkeys,29,R,Other,129.0,589000.0,8.0,29000001.0,high,55.0,4,True,False,2.7639816593292053,40.0,7,True,True,1.6741457978612198
1536,Leaving Las Vegas,29,R,Drama,111.0,117000.0,7.5,3600000.0,high,47.0,4,False,False,0.6624985101449276,31.0,7,False,True,2.8056376278366373
1537,Showgirls,29,Other,Drama,128.0,64000.0,4.9,45000000.0,low,57.0,3,True,False,5.110820987336473,23.0,0,False,False,0.0
1538,Before Sunrise,29,R,Drama,101.0,282000.0,8.1,2500000.0,mid,35.0,2,True,False,5.579205724637681,25.0,4,False,False,1.161191007633929
1539,Friday,29,R,Comedy,91.0,103000.0,7.3,3500000.0,high,26.0,0,False,False,0.0,26.0,0,False,False,0.0
1540,Sense and Sensibility,29,PG,Drama,136.0,106000.0,7.7,16000000.0,high,41.0,1,True,False,6.933459,36.0,0,False,False,0.0
1541,Waterworld,29,PG-13,Action,135.0,186000.0,6.2,175000000.0,mid,43.0,4,False,False,2.045940973214286,40.0,11,True,False,4.689512883822643
1542,The Basketball Diaries,29,R,Biography,102.0,105000.0,7.3,2000000.0,mid,31.0,0,False,False,0.0,21.0,0,False,False,0.0
1543,Bad Boys,29,R,Action,119.0,247000.0,6.9,19000000.0,high,30.0,0,False,False,0.0,27.0,1,False,False,0.5338265
1544,Billy Madison,29,PG-13,Comedy,89.0,135000.0,6.4,10000000.0,mid,33.0,2,False,False,1.5677206666666668,29.0,0,False,False,0.0
1545,Mighty Morphin Power Rangers: The Movie,29,PG,Action,95.0,26000.0,5.2,20000000.0,high,31.0,0,False,False,0.0,20.0,0,False,False,0.0
1546,GoldenEye,29,PG-13,Action,130.0,243000.0,7.2,60000000.0,high,52.0,1,False,False,0.7669515,42.0,0,False,False,0.0
1547,Species,29,R,Action,108.0,76000.0,5.8,35000000.0,high,50.0,4,False,False,2.9241738825000003,21.0,0,False,False,0.0
1548,Outbreak,29,R,Action,127.0,123000.0,6.6,50000000.0,high,54.0,4,True,False,1.5014488540193605,58.0,5,True,False,4.704952054404761
1549,Four Rooms,29,R,Comedy,98.0,100000.0,6.8,4000000.0,mid,27.0,1,False,False,10.0,34.0,1,False,False,0.4764717391304348
1550,The Quick and the Dead,29,R,Action,107.0,88000.0,6.4,32000000.0,low,36.0,5,True,False,2.9263521451659456,37.0,1,False,True,2.9075
1551,Hackers,29,PG-13,Comedy,105.0,66000.0,6.2,20000000.0,low,37.0,0,False,False,0.0,23.0,0,False,False,0.0
1552,Casper,29,PG,Comedy,100.0,125000.0,6.1,50000000.0,high,32.0,0,False,False,0.0,42.0,2,False,False,1.8066338214285715
1553,Tank Girl,29,R,Action,104.0,31000.0,5.4,25000000.0,low,37.0,2,False,True,1.7970469507575757,32.0,0,False,False,0.0
1554,Pocahontas,29,G,Animation,81.0,175000.0,6.7,55000000.0,high,41.0,0,False,False,0.0,39.0,12,True,False,4.229701745850719
1555,A Goofy Movie,29,G,Animation,78.0,48000.0,6.9,18000000.0,mid,33.0,0,False,False,0.0,43.0,0,False,False,0.0
1556,Dangerous Minds,29,R,Biography,99.0,50000.0,6.5,23000000.0,high,52.0,0,False,False,0.0,37.0,3,False,True,1.1181345363636364
1557,Crimson Tide,29,R,Action,116.0,105000.0,7.3,53000000.0,mid,51.0,6,True,False,4.288993823312282,65.0,9,True,True,1.5108566646049992
1558,To Die For,29,R,Comedy,106.0,45000.0,6.8,20000000.0,mid,43.0,3,False,True,1.555294775,28.0,1,False,False,0.7524047115384616
