director,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Lewis Teague,Lewis Teague,1938.0,0.0,Cujo,director,editor
Jim McBride,Jim McBride,1941.0,0.0,The Big Easy,director,writer
Richard Franklin,Richard Franklin,1948.0,2007.0,Hotel Sorrento,director,producer
Richard Franklin,Richard Franklin,1936.0,2023.0,Doctor Who,actor,archive_footage
Mike Nichols,Mike Nichols,1931.0,2014.0,The Graduate,director,producer
Michael Chapman,Michael Chapman,1935.0,2020.0,Raging Bull,cinematographer,actor
Michael Chapman,Michael Chapman,1937.0,2022.0,The Bill,producer,writer
Michael Chapman,Michael Chapman,1957.0,0.0,My Name Is Zaawaadi,actor,archive_footage
Michael Chapman,Michael Chapman,1941.0,2021.0,The Last Days of American Crime,soundtrack,
Barbra Streisand,Barbra Streisand,1942.0,0.0,Yentl,music_artist,actress
Ralph Bakshi,Ralph Bakshi,1938.0,0.0,Wizards,director,animation_department
Mel Damski,Mel Damski,1946.0,0.0,Psych,director,producer
Terry Jones,Terry Jones,1942.0,2020.0,The Meaning of Life,writer,actor
James Sbardellati,James Sbardellati,1951.0,0.0,Reindeer Games,assistant_director,producer
Jack Clayton,Jack Clayton,1921.0,1995.0,The Innocents,producer,director
Bob Fosse,Bob Fosse,1927.0,1987.0,Cabaret,miscellaneous,actor
Michael Apted,Michael Apted,1941.0,2021.0,Amazing Grace,director,producer
Steve Carver,Steve Carver,1945.0,2021.0,Lone Wolf McQuade,director,cinematographer
Curtis Hanson,Curtis Hanson,1945.0,2016.0,L.A. Confidential,director,producer
Rafal Zielinski,Rafal Zielinski,1957.0,0.0,Fun,director,producer
Douglas Trumbull,Douglas Trumbull,1942.0,2022.0,Blade Runner,producer,director
Robert Vincent O'Neil,Robert Vincent O'Neil,1930.0,2022.0,Angel,writer,producer
J. Lee Thompson,J. Lee Thompson,1914.0,2002.0,The Guns of Navarone,director,writer
Howard Avedis,Howard Avedis,1927.0,2017.0,Scorchy,director,writer
Andrew V. McLaglen,Andrew V. McLaglen,1920.0,2014.0,The Wild Geese,director,assistant_director
John Herzfeld,John Herzfeld,1947.0,0.0,Don King: Only in America,writer,director
Paul Nicholas,Paul Nicholas,1944.0,0.0,Lisztomania,actor,music_department
Brian G. Hutton,Brian G. Hutton,1929.0,2014.0,Where Eagles Dare,actor,director
Clive Smith,Clive Smith,1940.0,1985.0,Caddyshack,sound_department,editorial_department
Luigi Cozzi,Luigi Cozzi,1947.0,0.0,Hercules,director,writer
Richard Fleischer,Richard Fleischer,1916.0,2006.0,Soylent Green,director,producer
Sam Peckinpah,Sam Peckinpah,1925.0,1984.0,The Wild Bunch,writer,director
Sam Firstenberg,Sam Firstenberg,1950.0,0.0,One More Chance,director,assistant_director
Alan Johnson,Alan Johnson,1937.0,2018.0,History of the World: Part I,miscellaneous,director
Alan Johnson,Alan Johnson,1950.0,0.0,UK General Election,archive_footage,
George P. Cosmatos,George P. Cosmatos,1941.0,2005.0,Rambo: First Blood Part II,director,assistant_director
Joel Schumacher,Joel Schumacher,1939.0,2020.0,The Phantom of the Opera,director,writer
John Mackenzie,John Mackenzie,1928.0,2011.0,The Long Good Friday,director,editor
Peter Sasdy,Peter Sasdy,1935.0,0.0,The Lonely Lady,director,producer
Joseph Sargent,Joseph Sargent,1925.0,2014.0,Jaws: The Revenge,director,actor
Jeff Kanew,Jeff Kanew,1944.0,0.0,Revenge of the Nerds,editor,director
John Sayles,John Sayles,1950.0,0.0,Lone Star,writer,actor
Amy Holden Jones,Amy Holden Jones,1953.0,0.0,The Resident,writer,producer
Ferdinand Fairfax,Ferdinand Fairfax,1944.0,2008.0,Winston Churchill: The Wilderness Years,director,writer
William Olsen,William Olsen,1950.0,2019.0,Rockin' Road Trip,director,camera_department
William Olsen,William Olsen,1979.0,0.0,Claude Speed's Story: A GTA Fanfilm,actor,stunts
Marshall Brickman,Marshall Brickman,1939.0,0.0,Annie Hall,writer,producer
Donald Shebib,Donald Shebib,1938.0,2023.0,Goin' Down the Road,director,editor
Michael Tuchner,Michael Tuchner,1932.0,2017.0,Play for Today,director,producer
Charles Burnett,Charles Burnett,1944.0,0.0,Killer of Sheep,director,writer
James Cameron,James Cameron,1954.0,0.0,Avatar: The Way of Water,writer,producer
James Cameron,James Cameron,1911.0,1985.0,Screenplay,writer,miscellaneous
James Cameron,James Cameron,1930.0,2003.0,Rough Justice,archive_footage,
David Lynch,David Lynch,1946.0,0.0,Twin Peaks,writer,director
David Lynch,David Lynch,1929.0,1981.0,Coronation,actor,soundtrack
Sergio Leone,Sergio Leone,1929.0,1989.0,Once Upon a Time in America,assistant_director,writer
Hugh Wilson,Hugh Wilson,1943.0,2018.0,Blast from the Past,writer,producer
Hugh Wilson,Hugh Wilson,1926.0,2008.0,Dunkirk,camera_department,cinematographer
Hugh Wilson,Hugh Wilson,1971.0,0.0,My Soul to Take,music_department,actor
Milos Forman,Milos Forman,1932.0,2018.0,One Flew Over the Cuckoo's Nest,director,writer
Martin Brest,Martin Brest,1951.0,0.0,Scent of a Woman,director,writer
Wolfgang Petersen,Wolfgang Petersen,1941.0,2022.0,Das Boot,director,writer
Robert Zemeckis,Robert Zemeckis,1952.0,0.0,Back to the Future,producer,writer
John Hughes,John Hughes,1950.0,2009.0,"Planes, Trains & Automobiles",writer,producer
John Hughes,John Hughes,1882.0,1954.0,The Thing from Another World,art_director,miscellaneous
John Hughes,John Hughes,1950.0,0.0,The Commitments,miscellaneous,actor
John Hughes,John Hughes,1934.0,2006.0,1984,actor,
John Hughes,John Hughes,1873.0,1932.0,Gangs of New York,soundtrack,
Rob Reiner,Rob Reiner,1947.0,0.0,All in the Family,actor,writer
Fritz Kiersch,Fritz Kiersch,1951.0,0.0,Children of the Corn,director,writer
Nick Castle,Nick Castle,1947.0,0.0,The Last Starfighter,writer,director
Nick Castle,Nick Castle,1910.0,1968.0,Battle of Broadway,miscellaneous,music_department
Ron Howard,Ron Howard,1954.0,0.0,Arrested Development,producer,actor
Joel Coen,Joel Coen,1954.0,0.0,The Ballad of Buster Scruggs,producer,writer
Neal Israel,Neal Israel,1945.0,0.0,Bachelor Party,director,writer
Hayao Miyazaki,Hayao Miyazaki,1941.0,0.0,Spirited Away,animation_department,writer
Joseph Zito,Joseph Zito,1946.0,0.0,Friday the 13th: The Final Chapter,producer,director
Roger Donaldson,Roger Donaldson,1945.0,0.0,The World's Fastest Indian,director,producer
Mark L. Lester,Mark L. Lester,1946.0,0.0,Commando,producer,director
Douglas Cheek,,,,,,
Gene Wilder,Gene Wilder,1933.0,2016.0,Willy Wonka & the Chocolate Factory,actor,writer
Leonard Nimoy,Leonard Nimoy,1931.0,2015.0,Star Trek IV: The Voyage Home,actor,director
Alex Cox,Alex Cox,1954.0,0.0,Repo Man,actor,director
Roland Joffé,Roland Joffé,1945.0,0.0,The Mission,producer,director
Thom Eberhardt,Thom Eberhardt,1947.0,0.0,Without a Clue,director,writer
Stewart Raffill,Stewart Raffill,1942.0,0.0,Passenger 57,director,miscellaneous
Jim Jarmusch,Jim Jarmusch,1953.0,0.0,Paterson,director,writer
David Lean,David Lean,1908.0,1991.0,Lawrence of Arabia,editor,director
David Lean,David Lean,1980.0,0.0,Out of Courage 2: Out for Vengeance,sound_department,actor
Albert Magnoli,,,,,,
John Guillermin,John Guillermin,1925.0,2015.0,The Towering Inferno,director,writer
Neil Jordan,Neil Jordan,1950.0,0.0,The Crying Game,writer,producer
Richard Benjamin,Richard Benjamin,1938.0,0.0,Westworld,actor,director
Charles E. Sellier Jr.,Charles E. Sellier Jr.,1943.0,2011.0,Miracles & Other Wonders,producer,writer
Stan Lathan,Stan Lathan,1945.0,0.0,Real Husbands of Hollywood,director,producer
John Byrum,John Byrum,1947.0,0.0,Inserts,writer,producer
Arthur Hiller,Arthur Hiller,1923.0,2016.0,Love Story,director,producer
Mark Rydell,Mark Rydell,1929.0,0.0,The Long Goodbye,director,miscellaneous
Charles Shyer,Charles Shyer,1941.0,0.0,Private Benjamin,writer,producer
William Tannen,William Tannen,1911.0,1976.0,Woman of the Year,actor,archive_footage
William Tannen,William Tannen,1942.0,0.0,Cover-Up,director,producer
Paul Bartel,Paul Bartel,1938.0,2000.0,Eating Raoul,actor,director
Paul Bartel,Paul Bartel,1994.0,0.0,The Dream Kids,actor,
Douglas Day Stewart,,,,,,
Willard Huyck,Willard Huyck,1945.0,0.0,Howard the Duck,writer,director
Alan Rudolph,Alan Rudolph,1943.0,0.0,Trouble in Mind,director,writer
Gillian Armstrong,Gillian Armstrong,1950.0,0.0,My Brilliant Career,director,producer
Peter Webb,Peter Webb,1942.0,0.0,Butch Minds the Baby,director,producer
Louis Malle,Louis Malle,1932.0,1995.0,"Goodbye, Children",director,writer
James Bridges,James Bridges,1936.0,1993.0,The China Syndrome,writer,actor
Richard C. Sarafian,Richard C. Sarafian,1930.0,2013.0,Vanishing Point,director,actor
Adam Brooks,Adam Brooks,1956.0,0.0,"Definitely, Maybe",writer,producer
Adam Brooks,Adam Brooks,1975.0,0.0,Tasmania Votes,archive_footage,
Jonathan Lynn,Jonathan Lynn,1943.0,0.0,Clue,writer,actor
Peter Bogdanovich,Peter Bogdanovich,1939.0,2022.0,The Last Picture Show,actor,director
Dan O'Bannon,Dan O'Bannon,1946.0,2009.0,Alien,writer,miscellaneous
Dan O'Bannon,Dan O'Bannon,1952.0,0.0,The Unwilling,actor,
Akira Kurosawa,Akira Kurosawa,1910.0,1998.0,The Hidden Fortress,writer,director
James Ivory,James Ivory,1928.0,0.0,Call Me by Your Name,director,writer
Tom Holland,Tom Holland,1943.0,0.0,Fright Night,actor,writer
Tom Holland,Tom Holland,1968.0,0.0,Timewatch,writer,actor
Tom Holland,Tom Holland,1947.0,0.0,The Bible: A History,writer,
Tom Holland,Tom Holland,1996.0,0.0,Spider-Man: Homecoming,actor,producer
Jack Sholder,Jack Sholder,1945.0,0.0,The Hidden,director,writer
Tim Burton,Tim Burton,1958.0,0.0,Edward Scissorhands,producer,miscellaneous
Tim Burton,Tim Burton,1995.0,0.0,Close,sound_department,
Jerry Paris,Jerry Paris,1925.0,1986.0,The Dick Van Dyke Show,director,actor
Ted Berman,Ted Berman,1919.0,2001.0,The Fox and the Hound,writer,animation_department
Danny Steinmann,Danny Steinmann,1942.0,2012.0,Friday the 13th: A New Beginning,director,writer
Andrey Konchalovskiy,Andrey Konchalovskiy,1937.0,0.0,The Postman's White Nights,writer,director
