actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Doug Bradley,low,very-profitable,low,mid-high,low
Amanda Donohoe,low,not-profitable,low,mid-low,low
James Karen,low,not-profitable,low,mid-low,low
Tami Erin,low,not-profitable,low,mid-low,low
Carmen Maura,low,very-profitable,low,high,low
Cathy Podewell,low,profitable,low,mid-low,low
Heather O'Rourke,low,not-profitable,low,low,low
William Ragsdale,low,not-profitable,low,mid-low,low
Jackie Mason,low,not-profitable,low,low,low
Laurence Fishburne,mid,not-profitable,low,mid-low,high
Fisher Stevens,low,not-profitable,low,mid-low,low
Bill Pullman,mid,profitable,mid,mid-high,mid
Jason Beghe,low,not-profitable,low,mid-low,low
James Le Gros,low,profitable,low,mid-high,low
Carl Weathers,low,profitable,low,low,low
Sidney Poitier,low,not-profitable,mid,mid-high,mid
George Dzundza,low,not-profitable,low,mid-high,low
Lukas Haas,low,not-profitable,low,mid-high,low
Anthony Edwards,mid,not-profitable,low,mid-low,high
Scott Grimes,low,not-profitable,low,mid-low,low
Eric Bogosian,low,not-profitable,low,mid-high,low
Rubén Blades,low,not-profitable,low,mid-high,low
Forest Whitaker,mid,profitable,high,mid-high,high
Cyndi Lauper,low,not-profitable,low,mid-low,low
Robert Downey Jr.,high,profitable,mid,mid-high,high
Billy Crystal,mid,profitable,mid,mid-high,high
Jennifer Rubin,low,profitable,low,mid-low,low
Gena Rowlands,mid,not-profitable,mid,mid-high,mid
Cliff De Young,low,not-profitable,low,low,low
Amy Irving,low,very-profitable,low,mid-high,low
Jessica Lange,mid,not-profitable,low,mid-low,mid
David Keith,low,not-profitable,low,mid-low,low
Joanna Pacula,low,not-profitable,low,low,low
Tim Daly,low,not-profitable,low,mid-low,low
Alan Boyce,low,not-profitable,low,mid-high,low
Theresa Russell,low,not-profitable,low,mid-low,low
Hart Bochner,low,not-profitable,low,mid-high,low
Keanu Reeves,high,profitable,mid,mid-high,high
Jodi Benson,low,profitable,high,mid-high,high
Ed Harris,mid,not-profitable,low,mid-high,mid
Danny Aiello,low,very-profitable,low,high,low
James Spader,mid,very-profitable,high,mid-low,high
Dale Midkiff,low,very-profitable,low,mid-high,low
Julian Sands,mid,not-profitable,low,mid-low,mid
Fred Savage,low,profitable,low,mid-low,low
'Weird Al' Yankovic,low,not-profitable,low,mid-high,low
Dom DeLuise,low,not-profitable,low,mid-high,low
Nicole Kidman,high,not-profitable,mid,mid-high,high
Shelley Long,mid,profitable,mid,mid-low,low
Morgan Freeman,high,very-profitable,high,mid-high,high
Greg Evigan,low,not-profitable,low,low,low
John Ritter,mid,very-profitable,high,mid-low,mid
Kenneth Branagh,mid,not-profitable,mid,mid-high,high
Jensen Daggett,low,profitable,low,low,low
Colin Firth,mid,very-profitable,high,mid-high,high
Michael Murphy,low,profitable,low,mid-low,low
Masatoshi Nagase,low,not-profitable,low,high,low
Sammi Davis,low,not-profitable,low,mid-low,low
Christian Slater,mid,not-profitable,low,mid-low,high
Martin Landau,low,not-profitable,low,mid-high,high
Cybill Shepherd,low,not-profitable,low,mid-high,low
Gabriel Damon,low,not-profitable,low,mid-high,low
Ted Danson,low,not-profitable,low,mid-low,low
Dick Durock,low,not-profitable,low,low,low
Bubba Smith,low,not-profitable,low,low,low
Gary Graham,low,not-profitable,low,low,low
Hulk Hogan,low,not-profitable,mid,low,mid
Terry O'Quinn,low,not-profitable,low,mid-low,low
Randy Quaid,low,not-profitable,low,mid-low,low
Peter Boyle,low,not-profitable,low,low,low
Stephen Caffrey,low,not-profitable,low,high,low
Ron Fazio,low,not-profitable,low,low,low
Don Johnson,low,not-profitable,low,mid-low,low
Kiefer Sutherland,mid,not-profitable,low,mid-low,mid
Lorraine Bracco,low,not-profitable,low,mid-high,low
Jillian McWhirter,low,not-profitable,low,mid-low,low
Emily Lloyd,low,not-profitable,low,mid-low,low
Ron Silver,low,not-profitable,low,mid-high,low
Keith Coogan,low,not-profitable,low,mid-low,low
Cheech Marin,low,not-profitable,low,low,low
Josef Sommer,low,not-profitable,low,mid-low,low
Macaulay Culkin,mid,very-profitable,high,mid-low,high
Judith Hoag,low,very-profitable,low,mid-high,low
Johnny Depp,high,profitable,mid,mid-high,mid
Tim Robbins,mid,not-profitable,low,mid-high,high
Liam Neeson,high,profitable,high,mid-high,high
Gabriel Byrne,low,not-profitable,low,mid-low,high
Alex Vincent,low,profitable,low,mid-low,low
Richard Linklater,low,very-profitable,low,mid-high,low
Craig Sheffer,low,profitable,mid,mid-high,mid
Michael Oliver,low,very-profitable,low,low,low
Bob Newhart,low,not-profitable,low,mid-high,low
Christopher Reid,mid,very-profitable,high,mid-low,mid
Tony Todd,low,not-profitable,low,mid-low,high
Jonathan Brandis,low,not-profitable,low,low,low
Kate Hodge,low,profitable,low,low,low
James Lorinz,low,not-profitable,low,mid-low,low
Andrew Dice Clay,low,not-profitable,low,mid-high,low
Keely Christian,low,profitable,low,low,low
Akira Terao,low,not-profitable,low,high,low
Bradley Gregg,low,not-profitable,low,mid-low,low
Dylan McDermott,low,profitable,low,mid-low,mid
Marlon Brando,low,not-profitable,mid,mid-low,high
David Andrews,low,not-profitable,low,low,low
Debbie Harry,low,very-profitable,low,mid-low,low
Gérard Depardieu,low,not-profitable,mid,mid-low,low
Carolyn Farina,low,very-profitable,low,high,low
Aidan Quinn,low,not-profitable,low,mid-high,low
Patrick Bergin,low,not-profitable,low,low,high
Adrienne Shelly,low,not-profitable,low,high,low
Douglas Barr,low,very-profitable,low,low,low
Ed Begley Jr.,low,not-profitable,low,mid-low,low
Dabney Coleman,low,not-profitable,low,mid-low,low
Louis Tripp,low,not-profitable,low,low,low
Brian Dennehy,low,not-profitable,low,mid-low,low
Kirstie Alley,low,not-profitable,low,low,low
Cuba Gooding Jr.,mid,profitable,mid,mid-low,high
Anjelica Huston,low,profitable,high,mid-high,low
Susan Sarandon,mid,profitable,low,mid-high,high
Maribel Verdú,low,very-profitable,low,high,low
Paige O'Hara,low,very-profitable,low,high,low
Kathy Bates,low,very-profitable,high,high,mid
Billy Campbell,low,not-profitable,low,mid-high,low
Anna Chlumsky,low,profitable,low,mid-high,low
Julia Roberts,high,profitable,mid,mid-low,mid
Brian Krause,low,not-profitable,mid,low,low
John Turturro,low,not-profitable,low,high,low
Paige Turco,low,profitable,low,mid-low,low
Robert Arkins,low,not-profitable,low,high,low
Wesley Snipes,high,not-profitable,mid,mid-low,mid
Brandon Quintin Adams,low,very-profitable,low,mid-high,low
Justin Whalin,low,not-profitable,low,low,high
Juliette Binoche,mid,profitable,high,mid-high,low
Brian Bosworth,low,not-profitable,low,mid-low,low
Jason Patric,low,not-profitable,low,mid-high,low
David Morse,low,not-profitable,low,mid-high,low
Kristy Swanson,low,not-profitable,mid,low,high
Glen Campbell,low,not-profitable,low,mid-low,low
Scott Bakula,mid,not-profitable,low,mid-low,high
Vanilla Ice,low,not-profitable,low,low,low
Ellen Barkin,low,not-profitable,low,mid-low,low
Ed O'Neill,low,not-profitable,low,mid-high,low
Bobcat Goldthwait,low,not-profitable,low,mid-low,low
Brad Pitt,high,profitable,mid,mid-high,high
Edith Meeks,low,profitable,low,mid-high,low
John Goodman,mid,very-profitable,high,mid-low,high
Jeff Speakman,low,not-profitable,low,mid-low,low
Claire Bloom,low,not-profitable,low,mid-high,low
Laura Dern,low,not-profitable,low,mid-high,low
Martin Short,mid,not-profitable,low,mid-low,low
Gregory Hines,low,not-profitable,low,low,low
Joe Pesci,mid,not-profitable,mid,mid-low,high
Cindy Williams,low,not-profitable,low,low,low
Jeff Fahey,low,profitable,mid,mid-low,low
