director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Brian Gilbert,low,not-profitable,low,mid-high,low
Jonathan Mostow,mid,not-profitable,low,mid-high,low
Stephen Kessler,low,not-profitable,low,mid-low,low
George Armitage,low,not-profitable,mid,mid-low,high
John R. Leonetti,mid,very-profitable,high,low,high
Bob Spiers,low,not-profitable,low,low,low
Kar-Wai Wong,mid,not-profitable,low,mid-high,mid
Mimi Leder,mid,profitable,mid,mid-high,mid
Gore Verbinski,high,profitable,mid,mid-high,mid
Trey Parker,mid,profitable,mid,mid-high,high
George Tillman Jr.,mid,profitable,mid,mid-high,mid
Majid Majidi,low,very-profitable,low,high,low
Hark Tsui,low,not-profitable,low,low,low
Anthony Waller,low,not-profitable,low,low,low
Robert Kurtzman,low,profitable,low,mid-low,low
Brett Ratner,high,profitable,mid,mid-high,mid
Jeb Stuart,low,not-profitable,low,mid-high,low
Kasi Lemmons,low,profitable,low,mid-high,low
Félix Enríquez Alcalá,low,not-profitable,low,low,low
Charles Martin Smith,mid,very-profitable,mid,mid-low,high
Don Roos,low,not-profitable,low,mid-low,mid
Shuki Levy,low,not-profitable,low,low,low
Thomas Carter,mid,very-profitable,high,mid-low,high
Theodore Witcher,low,not-profitable,low,high,low
Peter O'Fallon,low,not-profitable,low,mid-high,low
Mark Pavia,low,not-profitable,low,mid-low,low
John Nicolella,low,not-profitable,low,low,low
David Mamet,mid,not-profitable,low,mid-high,low
Paul Miller,low,not-profitable,low,low,low
Ronny Yu,mid,not-profitable,mid,mid-low,mid
Robert Duvall,low,profitable,low,mid-high,low
Steve James,low,not-profitable,low,mid-high,low
Mark Dindal,mid,not-profitable,mid,mid-high,high
Robert Butler,low,not-profitable,low,low,low
John Duigan,low,not-profitable,low,high,low
Mark Waters,high,profitable,mid,mid-low,mid
Nick Cassavetes,mid,profitable,mid,mid-high,high
Kevin Allen,low,not-profitable,low,mid-high,low
Andy Cadiff,low,not-profitable,low,mid-low,mid
Manny Coto,low,not-profitable,low,low,low
Stephen Kay,mid,not-profitable,mid,low,high
Tom Schulman,low,not-profitable,low,low,low
Andy Wilson,low,not-profitable,low,mid-low,low
Neil LaBute,mid,very-profitable,high,mid-low,high
Tony Kaye,low,not-profitable,low,high,low
Stephen Norrington,low,profitable,low,mid-high,high
Frank Coraci,mid,profitable,mid,mid-low,mid
Tony Bancroft,low,profitable,low,high,low
