primaryName,birthYear,deathYear,knownForTitle,primaryProfession,secondaryProfession
Bo Welch,1951.0,0.0,Edward Scissorhands,production_designer,director
Boaz Yakin,1965.0,0.0,Fresh,writer,producer
Bob Balaban,1945.0,0.0,Gosford Park,actor,director
Bob Clark,1939.0,2007.0,A Christmas Story,director,writer
Bob Dolman,1949.0,0.0,Willow,writer,producer
Bob Fosse,1927.0,1987.0,Cabaret,miscellaneous,actor
Bob Geldof,1951.0,0.0,Pink Floyd: The Wall,actor,composer
Bob Giraldi,1939.0,0.0,Dinner Rush,producer,director
Bob Hoskins,1942.0,2014.0,The Long Good Friday,actor,director
Bob Newhart,1929.0,0.0,The Rescuers,actor,writer
Bob Odenkirk,1962.0,0.0,Nobody,writer,actor
Bob Persichetti,,,,,
Bob Rafelson,1933.0,2022.0,Five Easy Pieces,producer,director
Bob Saget,1956.0,2022.0,Full House,actor,writer
Bob Spiers,1945.0,2008.0,Spice World,director,producer
Bob Swaim,1943.0,0.0,La balance,director,writer
Bobby Farrelly,1958.0,0.0,There's Something About Mary,producer,director
Bobcat Goldthwait,1962.0,0.0,God Bless America,director,actor
Bong Joon Ho,1969.0,0.0,Snowpiercer,writer,producer
Bonnie Hunt,1961.0,0.0,Jumanji,producer,writer
Boots Riley,1971.0,0.0,Sorry to Bother You,writer,director
Boyd Holbrook,1981.0,0.0,Logan,actor,producer
Brad Anderson,1964.0,0.0,Session 9,director,producer
Brad Bird,1957.0,0.0,The Incredibles,miscellaneous,writer
Brad Furman,,,,,
Brad Garrett,1960.0,0.0,Everybody Loves Raymond,actor,producer
Brad Johnson,1959.0,2022.0,Always,actor,soundtrack
Brad Peyton,1978.0,0.0,Daybreak,producer,writer
Brad Pitt,1963.0,0.0,Fight Club,producer,actor
Brad Silberling,1963.0,0.0,City of Angels,producer,director
Bradley Cooper,1975.0,0.0,A Star Is Born,actor,producer
Bradley Gregg,1966.0,0.0,Stand by Me,actor,producer
Bradley Parker,,,,,
Brandon Camp,1971.0,0.0,Love & Gelato,writer,producer
Brandon Lee,1965.0,1993.0,The Crow,actor,miscellaneous
Brandon Quintin Adams,1979.0,0.0,The Sandlot,actor,producer
Brandon Routh,1979.0,0.0,Superman Returns,actor,producer
Breck Eisner,1970.0,0.0,The Crazies,director,producer
Breckin Meyer,1974.0,0.0,Rat Race,actor,writer
Brenda Blethyn,1946.0,0.0,Pride & Prejudice,actor,writer
Brenda Chapman,1962.0,0.0,Brave,animation_department,writer
Brendan Fraser,1968.0,0.0,The Mummy,actor,producer
Brendan Gleeson,1955.0,0.0,Calvary,actor,director
Brendan Malloy,,,,,
Brenton Thwaites,1989.0,0.0,Pirates of the Caribbean: Dead Men Tell No Tales,actor,director
Brett Dalton,1983.0,0.0,Agents of S.H.I.E.L.D.,actor,archive_footage
Brett Haley,1983.0,0.0,Hearts Beat Loud,director,writer
Brett Leonard,1959.0,0.0,Virtuosity,director,producer
Brett Ratner,1969.0,0.0,Red Dragon,producer,director
Brian Benben,1956.0,0.0,Dream On,actor,producer
Brian Bosworth,1965.0,0.0,Stone Cold,actor,producer
Brian Cox,1946.0,0.0,Succession,actor,producer
Brian Dannelly,,,,,
Brian De Palma,1940.0,0.0,Body Double,director,writer
Brian Dennehy,1938.0,2020.0,First Blood,actor,producer
Brian Fee,1975.0,0.0,Cars 3,animation_department,art_department
Brian G. Hutton,1929.0,2014.0,Where Eagles Dare,actor,director
Brian Gibson,1944.0,2004.0,Breaking Glass,director,producer
Brian Gilbert,1949.0,0.0,The Gathering,actor,director
Brian Helgeland,1961.0,0.0,Finestkind,director,writer
Brian Henson,1963.0,0.0,The Muppet Christmas Carol,producer,actor
Brian Kerwin,1949.0,0.0,Jack,actor,producer
Brian Klugman,1975.0,0.0,The Words,actor,writer
Brian Krause,1969.0,0.0,Charmed,actor,producer
Brian Levant,1952.0,0.0,The Flintstones,producer,writer
Brian O'Halloran,1969.0,0.0,Clerks,actor,producer
Brian Percival,,,,,
Brian Robbins,1963.0,0.0,Sports Theater with Shaquille O'Neal,producer,actor
Brian Yuzna,1949.0,0.0,Beyond Re-Animator,writer,producer
Briana Evigan,1986.0,0.0,Step Up 2: The Streets,actor,soundtrack
Bridget Fonda,1964.0,0.0,A Simple Plan,actor,soundtrack
Brie Larson,1989.0,0.0,Room,actor,producer
Brit Marling,1982.0,0.0,Another Earth,writer,producer
Britney Spears,1981.0,0.0,Crossroads,music_artist,actor
Britt Allcroft,1943.0,0.0,Thomas & Friends,writer,producer
Brittany Murphy,1977.0,2009.0,Clueless,actor,producer
Brittany Snow,1986.0,0.0,Pitch Perfect,actor,producer
Bronwen Hughes,,,,,
